business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes/ByAppointmentOnly,categories,hours,attributes/BusinessAcceptsCreditCards,hours/Monday,hours/Tuesday,hours/Wednesday,hours/Thursday,hours/Friday,hours/Saturday,attributes/BikeParking,attributes/RestaurantsPriceRange2,attributes/CoatCheck,attributes/RestaurantsTakeOut,attributes/RestaurantsDelivery,attributes/Caters,attributes/WiFi,attributes/BusinessParking,attributes/WheelchairAccessible,attributes/HappyHour,attributes/OutdoorSeating,attributes/HasTV,attributes/RestaurantsReservations,attributes/DogsAllowed,hours/Sunday,attributes/Alcohol,attributes/GoodForKids,attributes/RestaurantsAttire,attributes/Ambience,attributes/RestaurantsTableService,attributes/RestaurantsGoodForGroups,attributes/DriveThru,attributes,attributes/NoiseLevel,attributes/GoodForMeal,attributes/BusinessAcceptsBitcoin,attributes/Smoking,attributes/Music,attributes/GoodForDancing,attributes/AcceptsInsurance,attributes/BestNights,attributes/BYOB,attributes/Corkage,attributes/BYOBCorkage,attributes/HairSpecializesIn
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,4,245,1,,"Sushi Bars, Restaurants, Japanese",,True,,13:30-22:0,13:30-22:0,13:30-22:0,13:30-23:0,13:30-23:0,,2,,True,True,,'free',"{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': None}",True,True,True,False,True,False,13:30-22:0,'full_bar',False,'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,True,,,u'average',"{'dessert': True, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",,,,,,,,,,
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,625 N Stone Ave,Tucson,AZ,85705,32.2298719,-110.9723419,4.5,10,1,False,"Automotive, Auto Parts & Supplies, Auto Customization",,True,0:0-0:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-14:0,,,,,,,u'free',,,,,,,,0:0-0:0,,,,,,,False,,,,,,,,,,,,,
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,712 Adams St,New Orleans,LA,70118,29.9414679565,-90.129952757,4,5,1,,"Vape Shops, Tobacco Shops, Personal Shopping, Vitamins & Supplements, Shopping",,True,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,True,2,,,,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,,,,,10:0-19:0,,,,,,,,,,,,,,,,,,,,
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,1241 Airline Dr,Kenner,LA,70062,29.981183,-90.2540123,3.5,14,1,,"Automotive, Car Rental, Hotels & Travel, Truck Rental",,,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-15:0,,,,,,,,,,,,,,,9:0-12:0,,,,,,,,,,,,,,,,,,,,
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147,39.943223,-75.162568,4.5,205,1,,"Korean, Restaurants",,True,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,True,1,,True,None,True,u'no',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,None,True,False,,,u'none',True,u'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,False,,,u'quiet',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",,,,,,,,,,
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,10359 104 Street NW,Edmonton,AB,T5J 1B9,53.5460453,-113.4991693,4,40,0,,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",,,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,,2,,True,False,True,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,,False,False,False,,10:0-17:0,u'beer_and_wine',False,u'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",,True,,,u'average',,,,,,,,,,,
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,8675 River Crossing Blvd,Indianapolis,IN,46240,39.91382,-86.105739,4,38,1,,"Shopping, Books, Mags, Music & Video, Bookstores",,True,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,False,2,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,11:0-19:0,,,,,,,,,,,,,,,,,,,,
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,6625 E 82nd St,Indianapolis,IN,46250,39.9043203184,-86.0530799,4,20,1,,"Steakhouses, Asian Fusion, Restaurants",,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,,2,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,5505 S Virginia St,Reno,NV,89502,39.4761165,-119.7893392,2.5,339,1,,"Restaurants, Italian",,True,11:0-22:0,11:0-22:0,10:0-22:0,11:0-20:0,11:0-21:0,12:0-21:0,True,2,,True,True,True,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,True,True,True,False,11:0-21:0,'full_bar',True,'casual',"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': None, u'classy': None, u'upscale': False}",True,True,,,u'average',"{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}",,,,,,,,,,
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,1160 Gallatin Pike S,Nashville,TN,37115,36.2485696,-86.7199857,4,6,0,,"Hot Dogs, Restaurants",,False,,,,,,,,1,,True,False,False,u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,False,True,False,,,u'beer_and_wine',True,u'casual',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,True,,,u'average',,,,,,,,,,,
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,662 Durham Rd,Newtown,PA,18940,40.2734926,-74.987496,5,15,1,,"Pet Services, Pet Groomers, Pets, Veterinarians",,,8:0-19:0,8:0-19:0,8:0-19:0,8:0-19:0,8:0-17:0,9:0-13:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noByYNtDLQAra9ccqxdfDw,H&M,827-833 State St,Santa Barbara,CA,93101,34.4202089255,-119.7004597389,3,24,1,,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion",,True,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,True,1,,,,,,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,11:0-18:0,,,,,,,,,,,,,,,,,,,,
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,215 1st Ave S,Nashville,TN,37201,36.1598858,-86.7731974,4,161,0,,"Restaurants, Japanese, Seafood",,True,,,16:0-22:0,16:0-22:0,16:0-23:0,16:0-23:0,False,,,None,None,True,u'free',"{'garage': True, 'street': False, 'validated': True, 'lot': False, 'valet': True}",True,True,False,False,True,False,,u'full_bar',False,u'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,True,,,u'average',"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",False,,,,,,,,,
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147,39.9398245705,-75.1574465632,4,65,0,,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",,True,16:0-0:0,16:0-0:0,16:0-0:0,12:0-0:0,12:0-2:0,11:0-2:0,True,2,,True,True,False,u'free',"{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}",,True,False,True,False,,11:0-0:0,u'full_bar',False,'casual',"{'touristy': False, 'hipster': True, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': None, 'casual': True}",True,True,,,u'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}",,u'no',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",False,,,,,,
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,3001 Highway 31 W,White House,TN,37188,36.4647467622,-86.6591868908,3.5,8,1,,"Pizza, Chicken Wings, Sandwiches, Restaurants",,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-1:0,,1,,,,,,,,,,,,,10:0-0:0,,,,,,,,,,,,,,,,,,,,
fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,1301 N Milwaukee St,Boise,ID,83704,43.6167635,-116.2853821,5,30,1,False,"Trampoline Parks, Active Life",,True,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-22:0,9:0-22:0,True,,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,,,,,10:0-20:0,,,,,,,,,,,,,,,,,,,,
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,PA,19127,40.0224662,-75.218314,3,41,0,,"Pizza, Restaurants, Salad, Soup",,True,,17:0-21:30,17:0-1:30,17:0-1:30,17:0-0:30,17:0-0:30,True,1,,True,True,False,'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,True,True,False,,17:0-21:30,u'none',True,u'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,True,,,'average',"{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,,,,
8sshLb4UU7emeUDvtJWnpA,DanceLine,30 W Lancaster Ave,Paoli,PA,19301,40.0415845065,-75.4849526577,4.5,11,1,,"Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping",,True,0:0-0:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-17:0,True,2,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,,,,12:0-15:0,,True,,,,,,,,,,,,,,,,,,
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,10 Rittenhouse Pl,Ardmore,PA,19003,40.0067071,-75.289671,3.5,109,1,,"Pizza, Restaurants",,True,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,True,1,,True,True,True,u'no',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,,False,True,False,,11:0-0:0,u'none',True,u'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,True,,,u'average',"{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",,,,,,,,,,
w_AMNoI1iG9eay7ncmc67w,River 127,100 Iberville St,New Orleans,LA,70130,29.951359,-90.0646715,3,12,1,,"Event Planning & Services, Hotels, Hotels & Travel",,True,,,,,,,,2,,,,,'no',,,,,,,,,,,,,,,,,,,,,,,,,,,,
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123,39.9625821,-75.1356571,3.5,65,1,,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",,True,0:0-0:0,,16:0-22:0,16:0-22:0,16:0-19:0,11:0-23:0,,2,,True,True,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,True,True,,True,11:0-20:0,,True,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",,,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,,,,
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,116 N Pottstown Pike,Exton,PA,19341,40.029962,-75.630607,2.5,20,0,,"Restaurants, Burgers",,True,,,,,,,,2,,True,False,,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,True,True,,,,u'full_bar',True,u'casual',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,True,,,u'average',,,,,,,,,,,
mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,4735 Concord Pike,Wilmington,DE,19803,39.822176,-75.546007,2,6,1,,"Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair",,True,0:0-0:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,,3,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,,,,,11:0-18:0,,,,,,,,,,,,,,,,,,,,
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,722 Holyoake Rd,Edwardsville,IL,62025,38.8043945,-89.9497332,4.5,12,1,,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums",,True,10:0-15:0,9:30-14:0,10:0-18:0,10:0-18:0,9:30-17:30,9:30-17:30,,,,,,,,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,,,,,,,,True,,,,,,,,,,,,,,,,,,
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,,Sparks,NV,89431,39.5401545,-119.7483949,5,7,1,,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife",,True,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,,,,,,,u'no',,,,,,,,9:0-17:0,,,,,,,,,,,,,,,,,,,,
x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company,5324 W 16th St,Indianapolis,IN,46224,39.7874644177,-86.2514209,1.5,25,1,,"Hair Salons, Hair Extensions, Beauty & Spas, Wigs, Shopping",,,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-15:0,,2,,,,,,,,,,,,,9:0-15:0,,,,,,,,,,,,,,,,,,,,
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.1862032987,3,94,1,,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",,True,0:0-0:0,16:0-21:30,16:0-21:30,16:0-21:30,16:0-22:0,16:0-22:0,True,2,,True,False,True,'free',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True,,16:0-21:30,u'full_bar',True,u'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",True,True,,,u'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",False,,,,,,,,,
lwItZ1Ck3KtpCgG4CPFmpQ,Stomel Elliot Attorney-At-Law,"532 Rte 70 W, Fl 2",Cherry Hill,NJ,08002,39.915478,-75.016973,5,5,1,,"DUI Law, Professional Services, Lawyers, Criminal Defense Law",,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,,,,0:0-0:0,,,,,,,,,,,,,,,,,,,,
Kq51_lGAgAigqmENITTr-A,Bala Better Health,"2 Bala Plz, Ste PL-11",Bala Cynwyd,PA,19004,40.00687,-75.217262,4,13,1,False,"Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care",,True,0:0-0:0,9:0-15:0,,,,,True,,,,,,u'free',,True,,,,,,,,,,,,,,,,,False,,,,False,,,,,
mglME3E7esPSpIF5bias8w,Pier 1,1014 Baltimore Pike,Springfield,PA,19064,39.9152704301,-75.3426812589,2.5,8,0,,"Fashion, Shopping, Department Stores, Furniture Stores, Candle Stores, Home & Garden, Home Decor",,True,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-21:0,10:0-21:0,True,3,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,11:0-19:0,,,,,,,,,,,,,,,,,,,,
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,"1625 W Valencia Rd, Ste 101-103",Tucson,AZ,85746,32.1323047,-110.9999851,3,23,0,,"Restaurants, Chinese",,True,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,,2,,True,False,False,'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,False,False,True,,11:0-21:0,'beer_and_wine',True,u'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,True,,,u'quiet',,,,,,,,,,,
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,10303  108 Street NW,Edmonton,AB,T5J 1L7,53.5446819,-113.506589,4,12,1,,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",,,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,19:0-1:0,True,2,False,True,,False,u'free',"{'garage': False, 'street': True, 'validated': True, 'lot': True, 'valet': False}",True,,False,False,,False,19:0-1:0,u'none',,,,,,,,,,,u'no',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",,,,,,,
